datetime,price_EUR_per_MWh,load_MW,production_MW,import_MW,export_MW
2026-01-01 00:00,60.59,7367.9,6554.4,713.8,0
2026-01-01 01:00,56.93,7351.4,6593.5,648.5,0
2026-01-01 02:00,50.56,7378.5,6648.7,841.3,0
2026-01-01 03:00,48.79,7558.9,6911.9,688.6,0
2026-01-01 04:00,52.81,7529.8,6942.9,548.0,0
2026-01-01 05:00,48.94,7777.8,6983.0,725.3,0
2026-01-01 06:00,61.11,8028.4,6946.7,979.2,0
2026-01-01 07:00,69.65,8309.6,6991.2,1286.4,0
2026-01-01 08:00,77.63,8302.2,7265.4,1112.5,0
2026-01-01 09:00,67.6,8273.6,7507.9,849.9,0
2026-01-01 10:00,55.84,7972.1,7614.2,449.9,0
2026-01-01 11:00,37.91,7728.6,7975.1,0,281.1
2026-01-01 12:00,35.0,7637.6,8167.3,0,565.7
2026-01-01 13:00,29.65,7717.4,8269.5,0,605.0
2026-01-01 14:00,32.49,7755.3,7975.0,0,304.1
2026-01-01 15:00,46.28,7859.4,7637.2,108.5,0
2026-01-01 16:00,63.34,8056.9,7006.7,1145.2,0
2026-01-01 17:00,93.98,8409.6,6921.0,1391.2,0
2026-01-01 18:00,112.4,8755.1,6621.3,2255.7,0
2026-01-01 19:00,104.32,8716.1,6479.4,2384.9,0
2026-01-01 20:00,87.41,8598.7,6180.4,2434.1,0
2026-01-01 21:00,75.1,8316.4,6254.5,2045.4,0
2026-01-01 22:00,73.62,8192.8,6341.3,1904.4,0
2026-01-01 23:00,61.43,7975.2,6513.5,1586.5,0
2026-01-02 00:00,61.14,7427.5,6357.3,1127.8,0
2026-01-02 01:00,54.54,7387.6,6469.2,893.6,0
2026-01-02 02:00,50.0,7393.1,6532.4,842.5,0
2026-01-02 03:00,53.99,7555.7,6624.2,882.1,0
2026-01-02 04:00,47.91,7548.1,6939.5,766.7,0
2026-01-02 05:00,51.87,7724.3,6726.0,974.3,0
2026-01-02 06:00,62.63,7977.7,6757.8,1366.2,0
2026-01-02 07:00,69.17,8276.7,6847.0,1457.6,0
2026-01-02 08:00,80.91,8397.4,7073.4,1306.6,0
2026-01-02 09:00,69.18,8275.4,7473.3,774.3,0
2026-01-02 10:00,54.49,8180.1,7770.6,515.2,0
2026-01-02 11:00,39.92,7773.6,7920.9,0,73.1
2026-01-02 12:00,28.22,7629.4,8010.3,0,492.2
2026-01-02 13:00,29.58,7740.7,8285.1,0,537.4
2026-01-02 14:00,33.76,7641.4,7812.8,0,216.3
2026-01-02 15:00,51.2,7968.5,7569.1,462.2,0
2026-01-02 16:00,62.68,8187.3,7313.0,973.3,0
2026-01-02 17:00,95.82,8358.6,6891.4,1440.3,0
2026-01-02 18:00,115.77,8638.1,6470.8,2312.3,0
2026-01-02 19:00,102.36,8660.5,6215.5,2578.3,0
2026-01-02 20:00,87.17,8741.4,6449.3,2356.1,0
2026-01-02 21:00,77.39,8346.9,6108.8,2390.0,0
2026-01-02 22:00,70.21,8251.1,6311.9,2063.3,0
2026-01-02 23:00,62.69,7819.7,6338.2,1428.9,0
2026-01-03 00:00,53.07,6832.3,6367.2,599.9,0
2026-01-03 01:00,50.67,6877.5,6736.3,139.0,0
2026-01-03 02:00,47.01,6884.4,6684.3,85.3,0
2026-01-03 03:00,41.46,6809.3,6858.5,0,63.9
2026-01-03 04:00,43.8,7052.2,6751.2,326.1,0
2026-01-03 05:00,47.27,7129.2,6890.9,187.8,0
2026-01-03 06:00,55.18,7460.8,6951.7,601.9,0
2026-01-03 07:00,64.55,7693.3,7019.3,697.5,0
2026-01-03 08:00,70.62,7758.3,7151.5,750.4,0
2026-01-03 09:00,63.01,7773.7,7286.3,524.0,0
2026-01-03 10:00,47.72,7376.6,7507.4,0,65.3
2026-01-03 11:00,28.93,7136.7,7975.6,0,938.2
2026-01-03 12:00,22.24,7134.2,8154.7,0,1117.1
2026-01-03 13:00,26.74,6968.5,8272.3,0,1321.3
2026-01-03 14:00,32.92,7186.7,7800.1,0,636.5
2026-01-03 15:00,39.71,7213.8,7511.1,0,221.3
2026-01-03 16:00,59.43,7534.5,6992.0,515.3,0
2026-01-03 17:00,89.1,7731.2,6962.0,870.0,0
2026-01-03 18:00,101.84,8006.8,6340.6,1764.3,0
2026-01-03 19:00,95.04,8131.3,6489.2,1751.4,0
2026-01-03 20:00,80.19,8163.6,6301.8,1937.9,0
2026-01-03 21:00,66.46,7880.6,6256.8,1524.1,0
2026-01-03 22:00,64.08,7619.4,6185.9,1553.3,0
2026-01-03 23:00,60.9,7268.2,6354.8,948.2,0
2026-01-04 00:00,53.14,6762.8,6509.7,199.8,0
2026-01-04 01:00,48.29,6749.6,6483.4,233.5,0
2026-01-04 02:00,49.08,6826.3,6675.9,80.2,0
2026-01-04 03:00,40.15,6868.4,6576.3,377.4,0
2026-01-04 04:00,39.52,7032.6,6970.3,0,21.5
2026-01-04 05:00,44.46,7222.5,6989.7,222.9,0
2026-01-04 06:00,54.5,7574.8,6872.9,814.9,0
2026-01-04 07:00,66.09,7643.5,6962.4,576.3,0
2026-01-04 08:00,67.57,7808.1,7071.5,662.4,0
2026-01-04 09:00,62.73,7756.5,7434.3,281.1,0
2026-01-04 10:00,43.34,7454.0,7520.3,0,39.0
2026-01-04 11:00,34.69,7352.6,7931.5,0,692.0
2026-01-04 12:00,23.48,7047.9,7917.4,0,884.4
2026-01-04 13:00,23.02,6964.0,8111.1,0,1119.9
2026-01-04 14:00,25.72,7082.8,7757.0,0,655.0
2026-01-04 15:00,38.86,7307.3,7587.0,0,331.2
2026-01-04 16:00,60.73,7639.8,7125.7,485.3,0
2026-01-04 17:00,86.2,7889.6,6838.9,943.0,0
2026-01-04 18:00,108.14,8093.6,6590.5,1610.5,0
2026-01-04 19:00,98.19,8151.1,6461.7,1794.7,0
2026-01-04 20:00,83.67,8157.3,6342.2,1889.2,0
2026-01-04 21:00,66.25,7747.4,6233.5,1423.3,0
2026-01-04 22:00,63.47,7577.7,6381.2,1267.1,0
2026-01-04 23:00,54.03,7350.7,6502.1,869.5,0
2026-01-05 00:00,63.27,7347.6,6585.3,712.9,0
2026-01-05 01:00,56.12,7512.6,6484.7,1115.0,0
2026-01-05 02:00,53.95,7448.6,6668.3,851.7,0
2026-01-05 03:00,51.94,7562.6,6598.7,885.2,0
2026-01-05 04:00,50.95,7591.7,6838.3,636.9,0
2026-01-05 05:00,50.15,7865.0,6938.4,995.8,0
2026-01-05 06:00,60.13,8050.5,6917.4,1046.3,0
2026-01-05 07:00,69.59,8381.1,7174.3,1091.7,0
2026-01-05 08:00,80.56,8462.6,7141.3,1276.6,0
2026-01-05 09:00,70.56,8198.1,7402.2,715.6,0
2026-01-05 10:00,55.62,7975.6,7758.9,239.1,0
2026-01-05 11:00,39.63,7774.7,8057.7,0,208.0
2026-01-05 12:00,28.03,7680.3,8079.3,0,347.1
2026-01-05 13:00,28.75,7591.6,8231.9,0,710.4
2026-01-05 14:00,38.71,7615.7,8075.5,0,560.1
2026-01-05 15:00,46.32,7856.1,7537.9,477.9,0
2026-01-05 16:00,64.89,8131.5,7084.6,940.5,0
2026-01-05 17:00,98.68,8384.3,6944.1,1390.0,0
2026-01-05 18:00,112.09,8588.6,6460.7,2275.6,0
2026-01-05 19:00,107.5,8781.4,6489.9,2434.9,0
2026-01-05 20:00,91.76,8554.9,6360.0,2201.1,0
2026-01-05 21:00,78.16,8384.2,6121.3,2402.4,0
2026-01-05 22:00,69.78,8109.5,6263.0,1933.5,0
2026-01-05 23:00,63.08,7916.7,6341.0,1611.8,0
2026-01-06 00:00,59.34,7370.5,6394.9,1109.3,0
2026-01-06 01:00,55.76,7555.0,6769.5,791.5,0
2026-01-06 02:00,51.54,7378.5,6619.0,665.0,0
2026-01-06 03:00,49.07,7545.0,6890.2,744.8,0
2026-01-06 04:00,48.31,7644.5,6769.5,849.6,0
2026-01-06 05:00,50.22,7936.0,6734.5,1222.4,0
2026-01-06 06:00,62.9,7990.8,6847.1,1093.3,0
2026-01-06 07:00,71.57,8375.3,7142.8,1356.9,0
2026-01-06 08:00,74.26,8400.6,7301.9,1111.2,0
2026-01-06 09:00,63.0,8241.5,7526.5,826.1,0
2026-01-06 10:00,55.78,8003.4,7502.9,423.7,0
2026-01-06 11:00,39.46,7945.1,7994.4,12.0,122.2
2026-01-06 12:00,31.66,7694.7,7931.2,0,203.1
2026-01-06 13:00,33.36,7670.7,8038.8,0,338.4
2026-01-06 14:00,37.09,7754.6,7782.4,0,52.7
2026-01-06 15:00,48.66,7859.9,7477.0,431.3,0
2026-01-06 16:00,64.41,8139.3,7330.7,869.1,0
2026-01-06 17:00,95.8,8372.1,6696.3,1824.8,0
2026-01-06 18:00,110.46,8548.3,6505.7,2111.4,0
2026-01-06 19:00,103.06,8790.2,6494.2,2239.5,0
2026-01-06 20:00,88.7,8644.0,6342.1,2237.3,0
2026-01-06 21:00,78.91,8436.6,6177.5,2410.7,0
2026-01-06 22:00,72.56,8082.4,6235.5,1939.9,0
2026-01-06 23:00,68.62,7878.3,6300.1,1520.7,0
2026-01-07 00:00,63.32,7559.4,6372.7,1176.9,0
2026-01-07 01:00,61.79,7371.6,6429.5,839.0,0
2026-01-07 02:00,57.19,7568.8,6759.7,968.5,0
2026-01-07 03:00,49.63,7452.9,6907.7,634.1,0
2026-01-07 04:00,50.32,7609.5,6768.5,813.9,0
2026-01-07 05:00,48.02,7770.9,6815.7,1102.7,0
2026-01-07 06:00,63.71,7988.8,6877.9,1220.9,0
2026-01-07 07:00,71.46,8158.1,7007.7,1134.8,0
2026-01-07 08:00,75.54,8317.7,7302.4,903.8,0
2026-01-07 09:00,69.49,8331.5,7207.5,1013.8,0
2026-01-07 10:00,55.36,8005.4,7732.7,404.4,0
2026-01-07 11:00,36.18,7949.0,7956.7,0,71.0
2026-01-07 12:00,30.53,7628.5,7918.4,0,393.2
2026-01-07 13:00,31.07,7742.2,7938.1,0,211.0
2026-01-07 14:00,39.65,7815.9,7881.1,0,71.3
2026-01-07 15:00,47.95,7989.5,7462.3,631.9,0
2026-01-07 16:00,68.58,8214.3,7204.1,981.9,0
2026-01-07 17:00,94.89,8503.5,6635.8,1803.0,0
2026-01-07 18:00,109.98,8558.6,6338.5,2254.8,0
2026-01-07 19:00,108.84,8842.0,6516.7,2279.5,0
2026-01-07 20:00,86.77,8662.7,6351.9,2315.9,0
2026-01-07 21:00,76.33,8464.3,6346.3,2207.4,0
2026-01-07 22:00,71.32,8056.1,6458.5,1559.9,0
2026-01-07 23:00,63.98,7936.4,6304.4,1581.3,0
