strategy_name,min_surplus_mwh,min_renewable_fraction,safety_margin,low_quantile,high_quantile,round_trip_efficiency,total_profit_EUR,terminal_storage_value_EUR,adjusted_total_profit_EUR,total_pumped_MWh,total_generated_MWh,deficit_reduction_MWh,surplus_absorbed_MWh,renewable_surplus_absorbed_MWh,final_storage_MWh,error
renewable_surplus_plus_rolling_price,0.0,0.3,0.9,0.2,0.7,0.75,282514614.45000005,-91638684.1375,190875930.31250006,1513800.0,2789265.0,2470972.563,526500.0,510300.0,82045.0,
renewable_surplus_plus_rolling_price,0.0,0.3,0.9,0.2,0.75,0.75,284500175.4,-91638684.1375,192861491.2625,1674000.0,2909415.0,2547259.35,633600.0,602100.0,82045.0,
renewable_surplus_plus_rolling_price,0.0,0.3,0.9,0.2,0.8,0.75,280607400.0,-91638684.1375,188968715.8625,1817100.0,3016740.0,2572696.134,750600.0,703800.0,82045.0,
renewable_surplus_plus_rolling_price,0.0,0.3,0.9,0.2,0.85,0.75,222620958.0,-32437582.175,190183375.825,2035800.0,2704000.0,2327608.4579999996,935100.0,860400.0,558810.0,
renewable_surplus_plus_rolling_price,0.0,0.3,0.95,0.2,0.7,0.75,282232535.45,-91638684.1375,190593851.3125,1192500.0,2548290.0,2257258.54,405900.0,400500.0,82045.0,
renewable_surplus_plus_rolling_price,0.0,0.3,0.95,0.2,0.75,0.75,285658952.3,-91638684.1375,194020268.16250002,1335600.0,2655615.0,2321661.135,473400.0,461700.0,82045.0,
renewable_surplus_plus_rolling_price,0.0,0.3,0.95,0.2,0.8,0.75,283487014.85,-91638684.1375,191848330.71250004,1493100.0,2773740.0,2370141.7139999997,557100.0,534600.0,82045.0,
renewable_surplus_plus_rolling_price,0.0,0.3,0.95,0.2,0.85,0.75,256368582.0,-63449664.05,192918917.95,1702800.0,2704000.0,2327608.4579999996,703800.0,658800.0,309060.0,
renewable_surplus_plus_rolling_price,0.0,0.3,1.0,0.2,0.7,0.75,280321703.7,-91638684.1375,188683019.5625,938700.0,2357940.0,2092323.6800000002,355500.0,352800.0,82045.0,
renewable_surplus_plus_rolling_price,0.0,0.3,1.0,0.2,0.75,0.75,284943048.0,-91638684.1375,193304363.8625,1037700.0,2432190.0,2121883.531,388800.0,386100.0,82045.0,
renewable_surplus_plus_rolling_price,0.0,0.3,1.0,0.2,0.8,0.75,287483856.85,-91638684.1375,195845172.71250004,1169100.0,2530740.0,2155553.556,449100.0,439200.0,82045.0,
renewable_surplus_plus_rolling_price,0.0,0.3,1.0,0.2,0.85,0.75,286729045.75,-91638684.1375,195090361.6125,1350000.0,2666415.0,2290023.4579999996,553500.0,529200.0,82045.0,
renewable_surplus_plus_rolling_price,0.0,0.4,0.9,0.2,0.7,0.75,282514614.45000005,-91638684.1375,190875930.31250006,1513800.0,2789265.0,2470972.563,526500.0,510300.0,82045.0,
renewable_surplus_plus_rolling_price,0.0,0.4,0.9,0.2,0.75,0.75,284500175.4,-91638684.1375,192861491.2625,1674000.0,2909415.0,2547259.35,633600.0,602100.0,82045.0,
renewable_surplus_plus_rolling_price,0.0,0.4,0.9,0.2,0.8,0.75,280571055.4,-91638684.1375,188932371.2625,1811700.0,3012690.0,2568808.4359999998,745200.0,703800.0,82045.0,
renewable_surplus_plus_rolling_price,0.0,0.4,0.9,0.2,0.85,0.75,223270659.0,-33108113.675,190162545.325,2028600.0,2704000.0,2327608.4579999996,927900.0,860400.0,553410.0,
renewable_surplus_plus_rolling_price,0.0,0.4,0.95,0.2,0.7,0.75,282232535.45,-91638684.1375,190593851.3125,1192500.0,2548290.0,2257258.54,405900.0,400500.0,82045.0,
renewable_surplus_plus_rolling_price,0.0,0.4,0.95,0.2,0.75,0.75,285658952.3,-91638684.1375,194020268.16250002,1335600.0,2655615.0,2321661.135,473400.0,461700.0,82045.0,
renewable_surplus_plus_rolling_price,0.0,0.4,0.95,0.2,0.8,0.75,283497184.25,-91638684.1375,191858500.1125,1492200.0,2773065.0,2369661.7139999997,556200.0,534600.0,82045.0,
renewable_surplus_plus_rolling_price,0.0,0.4,0.95,0.2,0.85,0.75,256847742.0,-63952562.675,192895179.325,1697400.0,2704000.0,2327608.4579999996,698400.0,658800.0,305010.0,
renewable_surplus_plus_rolling_price,0.0,0.4,1.0,0.2,0.7,0.75,280321703.7,-91638684.1375,188683019.5625,938700.0,2357940.0,2092323.6800000002,355500.0,352800.0,82045.0,
renewable_surplus_plus_rolling_price,0.0,0.4,1.0,0.2,0.75,0.75,284943048.0,-91638684.1375,193304363.8625,1037700.0,2432190.0,2121883.531,388800.0,386100.0,82045.0,
renewable_surplus_plus_rolling_price,0.0,0.4,1.0,0.2,0.8,0.75,287483856.85,-91638684.1375,195845172.71250004,1169100.0,2530740.0,2155553.556,449100.0,439200.0,82045.0,
renewable_surplus_plus_rolling_price,0.0,0.4,1.0,0.2,0.85,0.75,286732654.75,-91638684.1375,195093970.6125,1348200.0,2665065.0,2288673.4579999996,551700.0,529200.0,82045.0,
